Rank,Game/Item,Price,Hours Played,Price per Hour,Category,Hiro_Priority,Spending_Pattern,Action_Needed,Financial_Impact,Original_Analysis,Enhanced_Recommendations
#1,CS:GO Skins,$127.50,0.0h,N/A,Cosmetic,🚨 HIGH - Refund Candidate,💸 Cosmetic Spender,Request Steam refund (within 14 days),-$127.50 (Potential refund),🚨 Poor Value: Expensive game with minimal playtime,🚨 TOP PRIORITY: Address immediately to improve spending efficiency
#2,Cyberpunk 2077,$59.99,0.2h,$299.95/h,RPG,🚨 HIGH - Refund Candidate,🐉 RPG Enthusiast,Request Steam refund (within 14 days),-$59.99 (Potential refund),🚨 Poor Value: Expensive game with minimal playtime,🚨 TOP PRIORITY: Address immediately to improve spending efficiency
#3,Dota 2 Battle Pass,$29.99,0.5h,$59.98/h,MOBA,📊 NORMAL - Standard Purchase,💸 Cosmetic Spender,Set monthly cosmetic budget limit,$0.00 (Neutral impact),📊 Standard Purchase: Normal gaming purchase pattern,🚨 TOP PRIORITY: Address immediately to improve spending efficiency
#4,Destiny 2 DLC,$39.99,2.3h,$17.39/h,FPS,📊 NORMAL - Standard Purchase,💸 Cosmetic Spender,Set monthly cosmetic budget limit,$0.00 (Neutral impact),📊 Standard Purchase: Normal gaming purchase pattern,⚠️ HIGH PRIORITY: Review and take corrective action
#5,Among Us,$4.99,0.8h,$6.24/h,Social,📊 NORMAL - Standard Purchase,💵 Budget Conscious,Monitor for future sale patterns,$0.00 (Neutral impact),📊 Standard Purchase: Normal gaming purchase pattern,⚠️ HIGH PRIORITY: Review and take corrective action
#6,Red Dead Redemption 2,$29.99,5.1h,$5.88/h,Action,📊 NORMAL - Standard Purchase,🎮 Balanced Gamer,Monitor for future sale patterns,$0.00 (Neutral impact),📊 Standard Purchase: Normal gaming purchase pattern,📊 MONITOR: Track future purchases in this category
#7,Call of Duty: MW3,$69.99,12.1h,$5.78/h,FPS,📊 NORMAL - Standard Purchase,💰 Premium Buyer,Monitor for future sale patterns,$0.00 (Neutral impact),📊 Standard Purchase: Normal gaming purchase pattern,"🎯 FPS FOCUS: Try Apex Legends, Valorant, or Overwatch 2"
#8,Elden Ring,$59.99,78.9h,$0.76/h,RPG,✅ GOOD - Solid Investment,🐉 RPG Enthusiast,Look for similar RPGs on sale,+$39.45 (Entertainment value delivered),💎 Excellent Value: High playtime per dollar spent,"🐉 RPG LOVER: Consider Witcher series, Mass Effect, or Divinity games"
#9,Baldur's Gate 3,$59.99,89.3h,$0.67/h,RPG,✅ GOOD - Solid Investment,🐉 RPG Enthusiast,Look for similar RPGs on sale,+$44.65 (Entertainment value delivered),💎 Excellent Value: High playtime per dollar spent,"🐉 RPG LOVER: Consider Witcher series, Mass Effect, or Divinity games"
#10,Hades,$24.99,45.6h,$0.55/h,Roguelike,✅ GOOD - Solid Investment,🎮 Balanced Gamer,Monitor for future sale patterns,$0.00 (Neutral impact),💎 Excellent Value: High playtime per dollar spent,📊 MONITOR: Track future purchases in this category
#11,Stardew Valley,$14.99,67.8h,$0.22/h,Simulation,✅ GOOD - Solid Investment,💵 Budget Conscious,Monitor for future sale patterns,+$29.98 (Exceptional value received),💎 Excellent Value: High playtime per dollar spent,📊 MONITOR: Track future purchases in this category
#12,Factorio,$35.00,234.7h,$0.15/h,Strategy,⭐ ADDICTION - Monitor Time,🎮 Balanced Gamer,Consider time management tools,+$70.00 (Exceptional value received),💎 Excellent Value: High playtime per dollar spent,📊 MONITOR: Track future purchases in this category
#13,The Witcher 3,$9.99,95.2h,$0.10/h,RPG,✅ GOOD - Solid Investment,💵 Budget Conscious,Look for similar RPGs on sale,+$19.98 (Exceptional value received),💎 Excellent Value: High playtime per dollar spent,"🐉 RPG LOVER: Consider Witcher series, Mass Effect, or Divinity games"
#14,Counter-Strike 2,$0.00,150.5h,$0.00/h,FPS,⭐ ADDICTION - Monitor Time,🎯 F2P FPS Player,Consider time management tools,+$0.00 (Exceptional value received),💎 Excellent Value: High playtime per dollar spent,"🎯 FPS FOCUS: Try Apex Legends, Valorant, or Overwatch 2"
#15,Fall Guys,$0.00,3.2h,$0.00/h,Battle Royale,✅ GOOD - Solid Investment,💵 Budget Conscious,Monitor for future sale patterns,+$0.00 (Exceptional value received),💎 Excellent Value: High playtime per dollar spent,📊 MONITOR: Track future purchases in this category
